EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	06:46:01	0	0.1000	0.7293894991347317	0.504444420337677		0.7437
2	06:53:33	0	0.1000	0.40648237595223063	0.3888585865497589		0.8208
3	07:01:06	0	0.1000	0.30953489288619035	0.43369460105895996		0.8258
4	07:08:40	0	0.1000	0.2906039528514383	0.42412978410720825		0.8288
5	07:16:14	0	0.1000	0.24298801331476133	0.43256446719169617		0.8378
6	07:23:44	0	0.1000	0.23143555021368414	0.39263755083084106		0.8539
7	07:31:15	1	0.1000	0.2138701844445434	0.5094290375709534		0.8188
8	07:38:49	0	0.1000	0.20100517483419536	0.37165525555610657		0.8559
9	07:46:30	1	0.1000	0.1749049505639461	0.5332468748092651		0.8288
10	07:54:05	2	0.1000	0.18486109323593602	0.4006429612636566		0.8559
11	08:01:31	3	0.1000	0.1558733182585871	0.7270681262016296		0.8028
12	08:09:03	4	0.1000	0.15415588451317652	0.4204254448413849		0.8498
13	08:16:35	1	0.0500	0.09122841494492671	0.4457586109638214		0.8529
14	08:24:17	0	0.0500	0.07320371218463449	0.5007835626602173		0.8579
15	08:31:50	1	0.0500	0.0638886372728299	0.5372430682182312		0.8488
16	08:39:42	2	0.0500	0.05619355204379967	0.5454278588294983		0.8569
17	08:48:47	0	0.0500	0.04766942836957971	0.5625642538070679		0.8609
18	08:57:52	1	0.0500	0.04370523700495959	0.6686426997184753		0.8438
19	09:06:59	2	0.0500	0.043045215908178315	0.696030855178833		0.8428
20	09:15:32	3	0.0500	0.03307819138720958	0.7080594301223755		0.8549
21	09:23:26	4	0.0500	0.03145561462524669	0.8047673106193542		0.8318
22	09:30:58	1	0.0250	0.021361990113584927	0.7224180698394775		0.8509
23	09:38:32	2	0.0250	0.015456677208201796	0.7848865985870361		0.8529
24	09:46:06	3	0.0250	0.015845708986921322	0.819868803024292		0.8478
25	09:53:40	4	0.0250	0.016444794339766783	0.8081376552581787		0.8539
26	10:01:13	1	0.0125	0.009265784172762094	0.8404743075370789		0.8488
27	10:09:44	2	0.0125	0.008019745268071423	0.8355575203895569		0.8549
28	10:18:51	3	0.0125	0.009314125128868138	0.8647552728652954		0.8478
29	10:27:58	4	0.0125	0.008070504806136036	0.8432212471961975		0.8539
30	10:37:04	1	0.0063	0.007954790977488753	0.8555295467376709		0.8539